Jugador,Puesto,Equipo,Cotizacion,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,PCG,AcG,PrG,PCT,AcT,PrT,G,GJ,GP,GV,GR,GC,VF,VI,TA,TR,PE,PA
"Bulasio, Ariel",ARQ,Aldosivi de MdP,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Campodónico, Pablo",ARQ,Aldosivi de MdP,3200000,3,5,3,4,9,0,9,13,0,10,9,2,13,3,5,13.0,80.0,6.15,15.0,88.0,5.87,0.0,0.0,0.0,0.0,20.0,0.0,1.0,6.0,2.0,0.0,0.0,1.0
"Vega, Matías",ARQ,Aldosivi de MdP,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Canever, Franco",DEF,Aldosivi de MdP,2500000,3,5,4,5,8,5,7,8,0,7,7,4,8,6,5,12.0,74.0,6.17,14.0,82.0,5.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0
"Díaz, Gastón",DEF,Aldosivi de MdP,2600000,5,3,3,2,11,9,8,7,0,6,0,3,7,12,1,11.0,69.0,6.27,13.0,77.0,5.92,3.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,7.0,1.0,0.0,0.0
"León, Federico",DEF,Aldosivi de MdP,2400000,3,5,3,5,7,5,7,5,3,8,8,5,8,6,5,13.0,75.0,5.77,15.0,83.0,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0
"León, Gonzalo",DEF,Aldosivi de MdP,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lequi, Matías",DEF,Aldosivi de MdP,3500000,3,4,6,6,6,6,8,5,0,0,0,0,21,5,3,9.0,66.0,7.33,11.0,73.0,6.64,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0
"Ortíz, Guillermo",DEF,Aldosivi de MdP,3000000,0,0,0,0,0,0,0,0,2,8,5,4,0,0,5,5.0,24.0,4.8,5.0,24.0,4.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
"Quílez, Ismael",DEF,Aldosivi de MdP,3400000,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1.0,4.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Soto, Carlos",DEF,Aldosivi de MdP,3200000,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vargas, Roque",DEF,Aldosivi de MdP,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Buzzini, Mariano",VOL,Aldosivi de MdP,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Capurro, Alejandro",VOL,Aldosivi de MdP,3500000,5,0,6,5,6,6,6,6,0,0,6,3,5,3,5,11.0,57.0,5.18,12.0,62.0,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Fredes, Leonardo",VOL,Aldosivi de MdP,1400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Galván, Jonatan",VOL,Aldosivi de MdP,2900000,4,3,6,5,3,3,0,0,0,5,3,0,0,0,-1,7.0,24.0,3.43,9.0,31.0,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
"Gargiulo, Juan Pablo",VOL,Aldosivi de MdP,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lamberti, Hernán",VOL,Aldosivi de MdP,3200000,6,6,5,3,6,6,5,6,3,7,6,4,3,4,0,12.0,58.0,4.83,14.0,70.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
