INTEGER OPTIMAL SOLUTION FOUND
Time used:   1336.0 secs
Memory used: 245.0 Mb (256894219 bytes)

------------Partido 1-------------
***Titulares:
Escudero, Sergio, DEF 
Díaz, Daniel, DEF 
Palacios, Sebastián, DEL 
Bertochi, Nicolás, VOL 
Damonte, Israel, VOL 
Albertengo, Lucas, DEL 
Rodríguez, Maxi, VOL 
Donatti, Alejandro, DEF 
Cervi, Franco, DEL 
López, Ramiro, VOL 
Crivelli, Federico, ARQ 

***Suplentes: 
Bertolo, Nicolás, VOL 
Aveldaño, Lucas, DEF 
Champagne, Nereo, ARQ 
Niell, Franco, DEL 

***Comprados: 
Bertolo, Nicolás, VOL 
Escudero, Sergio, DEF 
Díaz, Daniel, DEF 
Palacios, Sebastián, DEL 
Bertochi, Nicolás, VOL 
Damonte, Israel, VOL 
Albertengo, Lucas, DEL 
Rodríguez, Maxi, VOL 
Aveldaño, Lucas, DEF 
Champagne, Nereo, ARQ 
Donatti, Alejandro, DEF 
Cervi, Franco, DEL 
Niell, Franco, DEL 
López, Ramiro, VOL 
Crivelli, Federico, ARQ 

***Vendidos: 

***Capitan 
Albertengo, Lucas, DEL 

------------Partido 2-------------
***Titulares:
Bertolo, Nicolás, VOL 
Escudero, Sergio, DEF 
Díaz, Daniel, DEF 
Ramírez, David, VOL 
Pisano, Matías, VOL 
Rodríguez, Maxi, VOL 
Aveldaño, Lucas, DEF 
Champagne, Nereo, ARQ 
Cervi, Franco, DEL 
Niell, Franco, DEL 
Cuevas, Héctor, DEL 

***Suplentes: 
Martínez, Roger, DEL 
Donatti, Alejandro, DEF 
López, Ramiro, VOL 
Crivelli, Federico, ARQ 

***Comprados: 
Martínez, Roger, DEL 
Ramírez, David, VOL 
Pisano, Matías, VOL 
Cuevas, Héctor, DEL 

***Vendidos: 
Palacios, Sebastián, DEL 
Bertochi, Nicolás, VOL 
Damonte, Israel, VOL 
Albertengo, Lucas, DEL 

***Capitan 
Bertolo, Nicolás, VOL 

------------Partido 3-------------
***Titulares:
Martínez, Roger, DEL 
Ojeda, Luis, ARQ 
Carrera, Ramiro, VOL 
Bertolo, Nicolás, VOL 
Escudero, Sergio, DEF 
Díaz, Daniel, DEF 
Mancuello, Federico, VOL 
Mora, Rodrigo, DEL 
Donatti, Alejandro, DEF 
Niell, Franco, DEL 
López, Ramiro, VOL 

***Suplentes: 
Rodríguez, Maxi, VOL 
Aveldaño, Lucas, DEF 
Champagne, Nereo, ARQ 
Cuevas, Héctor, DEL 

***Comprados: 
Ojeda, Luis, ARQ 
Carrera, Ramiro, VOL 
Mancuello, Federico, VOL 
Mora, Rodrigo, DEL 

***Vendidos: 
Ramírez, David, VOL 
Pisano, Matías, VOL 
Cervi, Franco, DEL 
Crivelli, Federico, ARQ 

***Capitan 
Mora, Rodrigo, DEL 

------------Partido 4-------------
***Titulares:
Martínez, Roger, DEL 
Ojeda, Luis, ARQ 
Escudero, Sergio, DEF 
Rigoni, Emiliano, VOL 
Díaz, Daniel, DEF 
Rodríguez, Maxi, VOL 
Donatti, Alejandro, DEF 
Ruben, Marco, DEL 
Blanco, Sebastián, VOL 
